sub,trial,partner,trait,ran,order,response,age
10800,1,3,0,1,0,3,26.0
10800,2,2,0,1,1,4,26.0
10800,3,1,0,1,2,2,26.0
10800,4,3,1,1,3,-5,26.0
10800,5,2,1,1,4,-2,26.0
10800,6,1,1,1,5,-3,26.0
10801,1,3,0,1,0,4,34.0
10801,2,2,0,1,1,4,34.0
10801,3,1,0,1,2,4,34.0
10801,4,3,1,1,3,-5,34.0
10801,5,2,1,1,4,-3,34.0
10801,6,1,1,1,5,-1,34.0
10802,1,3,0,1,0,5,42.0
10802,2,2,0,1,1,5,42.0
10802,3,1,0,1,2,3,42.0
10802,4,3,1,1,3,-5,42.0
10802,5,2,1,1,4,-2,42.0
10802,6,1,1,1,5,-2,42.0
10804,1,3,0,1,0,-1,25.0
10804,2,2,0,1,1,1,25.0
10804,3,1,0,1,2,1,25.0
10804,4,3,1,1,3,0,25.0
10804,5,2,1,1,4,-2,25.0
10804,6,1,1,1,5,-4,25.0
10806,1,3,0,1,0,0,27.0
10806,2,2,0,1,1,0,27.0
10806,3,1,0,1,2,-5,27.0
10806,4,3,1,1,3,-3,27.0
10806,5,2,1,1,4,0,27.0
10806,6,1,1,1,5,-3,27.0
10807,1,3,0,1,0,5,58.0
10807,2,2,0,1,1,5,58.0
10807,3,1,0,1,2,5,58.0
10807,4,3,1,1,3,-5,58.0
10807,5,2,1,1,4,-5,58.0
10807,6,1,1,1,5,-5,58.0
10809,1,3,0,1,0,5,68.0
10809,2,2,0,1,1,3,68.0
10809,3,1,0,1,2,2,68.0
10809,4,3,1,1,3,-1,68.0
10809,5,2,1,1,4,-1,68.0
10809,6,1,1,1,5,0,68.0
10812,1,3,0,1,0,5,62.0
10812,2,2,0,1,1,5,62.0
10812,3,1,0,1,2,5,62.0
10812,4,3,1,1,3,-5,62.0
10812,5,2,1,1,4,-5,62.0
10812,6,1,1,1,5,-5,62.0
10831,1,3,0,1,0,5,25.0
10831,2,2,0,1,1,0,25.0
10831,3,1,0,1,2,0,25.0
10831,4,3,1,1,3,-5,25.0
10831,5,2,1,1,4,-2,25.0
10831,6,1,1,1,5,0,25.0
10843,1,3,0,1,0,5,27.0
10843,2,2,0,1,1,5,27.0
10843,3,1,0,1,2,3,27.0
10843,4,3,1,1,3,1,27.0
10843,5,2,1,1,4,1,27.0
10843,6,1,1,1,5,2,27.0
10850,1,3,0,1,0,5,32.0
10850,2,2,0,1,1,4,32.0
10850,3,1,0,1,2,2,32.0
10850,4,3,1,1,3,-5,32.0
10850,5,2,1,1,4,-2,32.0
10850,6,1,1,1,5,0,32.0
10854,1,3,0,1,0,5,46.0
10854,2,2,0,1,1,5,46.0
10854,3,1,0,1,2,5,46.0
10854,4,3,1,1,3,-5,46.0
10854,5,2,1,1,4,-5,46.0
10854,6,1,1,1,5,-5,46.0
10857,1,3,0,1,0,5,22.0
10857,2,2,0,1,1,2,22.0
10857,3,1,0,1,2,2,22.0
10857,4,3,1,1,3,-5,22.0
10857,5,2,1,1,4,-3,22.0
10857,6,1,1,1,5,-2,22.0
10858,1,3,0,1,0,5,80.0
10858,2,2,0,1,1,0,80.0
10858,3,1,0,1,2,0,80.0
10858,4,3,1,1,3,-3,80.0
10858,5,2,1,1,4,-1,80.0
10858,6,1,1,1,5,0,80.0
10860,1,3,0,1,0,0,25.0
10860,2,2,0,1,1,0,25.0
10860,3,1,0,1,2,0,25.0
10860,4,3,1,1,3,0,25.0
10860,5,2,1,1,4,0,25.0
10860,6,1,1,1,5,0,25.0
10862,1,3,0,1,0,5,60.0
10862,2,2,0,1,1,5,60.0
10862,3,1,0,1,2,3,60.0
10862,4,3,1,1,3,-5,60.0
10862,5,2,1,1,4,-2,60.0
10862,6,1,1,1,5,-3,60.0
10863,1,3,0,1,0,5,42.0
10863,2,2,0,1,1,5,42.0
10863,3,1,0,1,2,5,42.0
10863,4,3,1,1,3,-5,42.0
10863,5,2,1,1,4,-5,42.0
10863,6,1,1,1,5,-5,42.0
10875,1,3,0,1,0,5,32.0
10875,2,2,0,1,1,0,32.0
10875,3,1,0,1,2,0,32.0
10875,4,3,1,1,3,-2,32.0
10875,5,2,1,1,4,0,32.0
10875,6,1,1,1,5,0,32.0
10881,1,3,0,1,0,5,62.0
10881,2,2,0,1,1,5,62.0
10881,3,1,0,1,2,5,62.0
